time,position,Pipe elevation profile,Heat transfer - gas-wall,Heat transfer - oil-wall,Heat transfer - gas-oil,Heat transfer - average-wall,Heat transfer - OHTC,Heat transfer - surroundings,MFR - continuous gas,MFR - continuous oil,MFR - bubbles,MFR - droplets,MFR - total gas,MFR - total liquid,MFR - total,Pressure,Temperature - gas,Temperature - oil,Temperature - average,CO2 mGas total,CO2 mOil total,CO2 mTotal
[s],[m],[m],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[W/m²-K],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[kg/s],[Pa],[C],[C],[C],[?],[?],[?]
611.9072298511638,400,0,,,,,,,0,49.78582154247148,0,0,0,49.78582154247148,49.78582154247148,,,,,,,
611.9072298511638,425,,197.704202020119,4577.003603786418,0,4577.003603786418,400.5498421835435,425.2186540488346,,,,,,,,140.06117513005194,2.894462592424759,2.894462592424759,2.894462592424759,,,
611.9072298511638,450,0,,,,,,,0,49.73026192615281,0,0,0,49.73026192615281,49.73026192615281,,,,,,,
611.9072298511638,475,,167.76017867630972,4568.639154640192,0,4568.639154640192,400.48567502848954,425.2186540488346,,,,,,,,139.91258950756875,3.171306419974144,3.171306419974144,3.171306419974144,,,
611.9072298511638,500,0,,,,,,,0,49.66679437505283,0,0,0,49.66679437505283,49.66679437505283,,,,,,,
611.9072298511638,525,,130.64239243759204,4559.752833696515,0,4559.752833696515,400.4172691190914,425.2186540488346,,,,,,,,139.76412355801605,3.442929132102563,3.442929132102563,3.442929132102563,,,
611.9072298511638,550,0,,,,,,,0,49.596045807942936,0,0,0,49.596045807942936,49.596045807942936,,,,,,,
611.9072298511638,575,,83.59351787901205,4550.547789208045,0,4550.547789208045,400.34615278375986,425.2186540488346,,,,,,,,139.61582172772512,3.7068008914926622,3.7068008914926622,3.7068008914926622,,,
611.9072298511638,600,0,,,,,,,0,49.518990104644985,0,0,0,49.518990104644985,49.518990104644985,,,,,,,
611.9072298511638,625,,141.2057010691231,4541.678247954629,0,4541.678247954629,400.27737980704916,425.2186540488346,,,,,,,,139.46772475581122,3.9599166277498625,3.9599166277498625,3.9599166277498625,,,
611.9072298511638,650,0,,,,,,,0,49.436857192472345,0,0,0,49.436857192472345,49.436857192472345,,,,,,,
611.9072298511638,675,,173.45260791557095,4532.611460910707,0,4532.611460910707,400.2068237834666,425.2186540488346,,,,,,,,139.31986876114982,4.199156964216286,4.199156964216286,4.199156964216286,,,
611.9072298511638,700,0,,,,,,,0,49.35102911305714,0,0,0,49.35102911305714,49.35102911305714,,,,,,,
611.9072298511638,725,,198.95866806696563,4523.564801760256,0,4523.564801760256,400.1361674305661,425.2186540488346,,,,,,,,139.17228462673987,4.421618733496189,4.421618733496189,4.421618733496189,,,
611.9072298511638,750,0,,,,,,,0,49.26293222429378,0,0,0,49.26293222429378,49.26293222429378,,,,,,,
611.9072298511638,775,,220.26046566497033,4514.680025483271,0,4514.680025483271,400.0665242292769,425.2186540488346,,,,,,,,139.02499770935003,4.624890521144721,4.624890521144721,4.624890521144721,,,
611.9072298511638,800,0,,,,,,,0,49.17393470875507,0,0,0,49.17393470875507,49.17393470875507,,,,,,,
611.9072298511638,825,,238.0999942370783,4506.066819452027,0,4506.066819452027,399.99877082788873,425.2186540488346,,,,,,,,138.87802787485717,4.807253296954855,4.807253296954855,4.807253296954855,,,
611.9072298511638,850,0,,,,,,,0,49.08525898651297,0,0,0,49.08525898651297,49.08525898651297,,,,,,,
611.9072298511638,875,,252.85268493729308,4497.804565596382,0,4497.804565596382,399.9335559286862,425.2186540488346,,,,,,,,138.7313898244183,4.967792508243463,4.967792508243463,4.967792508243463,,,
611.9072298511638,900,0,,,,,,,0,48.99791701688992,0,0,0,48.99791701688992,48.99791701688992,,,,,,,
611.9072298511638,925,,264.8327721625585,4489.943160959286,0,4489.943160959286,399.87130199370495,425.2186540488346,,,,,,,,138.58509361832972,5.10635140595474,5.10635140595474,5.10635140595474,,,
611.9072298511638,950,0,,,,,,,0,48.912673097565786,0,0,0,48.912673097565786,48.912673097565786,,,,,,,
611.9072298511638,975,,119.9784936163468,4529.129093711211,0,4529.129093711211,400.1796562089114,425.2186540488346,,,,,,,,80.07892523466637,2.556990105092723,2.556990105092723,2.556990105092723,,,
611.9072298511638,1000,0,,,,,,,0,48.8356436161426,0,0,0,48.8356436161426,48.8356436161426,,,,,,,
809.1893347365551,0,0,,,,,,,0,50,0,0,0,50,50,,,,,,,
809.1893347365551,25,,344.2343420734259,4627.568110074552,0,4627.568110074552,400.9332317738627,425.2186540488346,,,,,,,,142.84242752104242,0.3888265001999116,0.3888265001999116,0.3888265001999116,,,
809.1893347365551,50,0,,,,,,,0,49.99712800194374,0,0,0,49.99712800194374,49.99712800194374,,,,,,,
809.1893347365551,75,,332.5617955659551,4623.375345583883,0,4623.375345583883,400.9017326492769,425.2186540488346,,,,,,,,142.69478633697642,0.737278389492019,0.737278389492019,0.737278389492019,,,
809.1893347365551,100,0,,,,,,,0,49.993904471248946,0,0,0,49.993904471248946,49.993904471248946,,,,,,,
809.1893347365551,125,,320.7603068967405,4619.441491429044,0,4619.441491429044,400.872131169004,425.2186540488346,,,,,,,,142.5467186573118,1.0532057281156995,1.0532057281156995,1.0532057281156995,,,
809.1893347365551,150,0,,,,,,,0,49.990313195083324,0,0,0,49.990313195083324,49.990313195083324,,,,,,,
809.1893347365551,175,,308.8938705424264,4615.840998818297,0,4615.840998818297,400.84499778594545,425.2186540488346,,,,,,,,142.3983924227811,1.3398188037702425,1.3398188037702425,1.3398188037702425,,,
809.1893347365551,200,0,,,,,,,0,49.98633745754494,0,0,0,49.98633745754494,49.98633745754494,,,,,,,
809.1893347365551,225,,297.02399795881473,4612.531242869465,0,4612.531242869465,400.82002127988056,425.2186540488346,,,,,,,,142.24983240826523,1.6000269679508392,1.6000269679508392,1.6000269679508392,,,
809.1893347365551,250,0,,,,,,,0,49.98195556323581,0,0,0,49.98195556323581,49.98195556323581,,,,,,,
809.1893347365551,275,,285.20541823307315,4609.472716210162,0,4609.472716210162,400.7969115178304,425.2186540488346,,,,,,,,142.1010615510636,1.8364916900635535,1.8364916900635535,1.8364916900635535,,,
809.1893347365551,300,0,,,,,,,0,49.977134198049605,0,0,0,49.977134198049605,49.977134198049605,,,,,,,
809.1893347365551,325,,273.4805364588583,4606.627555822051,0,4606.627555822051,400.7753887652051,425.2186540488346,,,,,,,,141.95210115342945,2.051675210402152,2.051675210402152,2.051675210402152,,,
809.1893347365551,350,0,,,,,,,0,49.97182029539455,0,0,0,49.97182029539455,49.97182029539455,,,,,,,
